time,signal_1
0.400,-14800
0.401,-14726
0.402,-14719
0.403,-14785
0.404,-14785
0.405,-14699
0.406,-14702
0.407,-14756
0.408,-14751
0.409,-14798
0.410,-14840
0.411,-14791
0.412,-14764
0.413,-14796
0.414,-14846
0.415,-14804
0.416,-14772
0.417,-14804
0.418,-14816
0.419,-14807
0.420,-14804
0.421,-14815
0.422,-14841
0.423,-14872
0.424,-14843
0.425,-14731
0.426,-14752
0.427,-14811
0.428,-14781
0.429,-14781
0.430,-14793
0.431,-14796
0.432,-14780
0.433,-14861
0.434,-14909
0.435,-14877
0.436,-14841
0.437,-14849
0.438,-14852
0.439,-14827
0.440,-14818
0.441,-14797
0.442,-14786
0.443,-14808
0.444,-14834
0.445,-14806
0.446,-14819
0.447,-14829
0.448,-14843
0.449,-14810
0.450,-14829
0.451,-14855
0.452,-14813
0.453,-14881
0.454,-14892
0.455,-14996
0.456,-15083
0.457,-15032
0.458,-15009
0.459,-15077
0.460,-15154
0.461,-15227
0.462,-15118
0.463,-15119
0.464,-15146
0.465,-15098
0.466,-15155
0.467,-15141
0.468,-15105
0.469,-15099
0.470,-15114
0.471,-15188
0.472,-15197
0.473,-15184
0.474,-15184
0.475,-15145
0.476,-15184
0.477,-15182
0.478,-15147
0.479,-15158
0.480,-15131
0.481,-15168
0.482,-15211
0.483,-15174
0.484,-15135
0.485,-15156
0.486,-15137
0.487,-15114
0.488,-15139
0.489,-15143
0.490,-15151
0.491,-15295
0.492,-15366
0.493,-15326
0.494,-15353
0.495,-15381
0.496,-15398
0.497,-15400
0.498,-15408
0.499,-15402
0.500,-15395
0.501,-15391
0.502,-15396
0.503,-15363
0.504,-15375
0.505,-15399
0.506,-15421
0.507,-15422
0.508,-15377
0.509,-15389
0.510,-15404
0.511,-15407
0.512,-15470
0.513,-15502
0.514,-15532
0.515,-15672
0.516,-15684
0.517,-15697
0.518,-15691
0.519,-15697
0.520,-15694
0.521,-15758
0.522,-15832
0.523,-15842
0.524,-15860
0.525,-15861
0.526,-15834
0.527,-15844
0.528,-15902
0.529,-15943
0.530,-15941
0.531,-15984
0.532,-16047
0.533,-16101
0.534,-16205
0.535,-16319
0.536,-16369
0.537,-16304
0.538,-16301
0.539,-16440
0.540,-16496
0.541,-16519
0.542,-16542
0.543,-16506
0.544,-16497
0.545,-16536
0.546,-16544
0.547,-16542
0.548,-16574
0.549,-16579
0.550,-16626
0.551,-16694
0.552,-16749
0.553,-16803
0.554,-16865
0.555,-16897
0.556,-16891
0.557,-16891
0.558,-16948
0.559,-16986
0.560,-16965
0.561,-16927
0.562,-16962
0.563,-16994
0.564,-17054
0.565,-17110
0.566,-17071
0.567,-17064
0.568,-17136
0.569,-17133
0.570,-17159
0.571,-17162
0.572,-17156
0.573,-17172
0.574,-17194
0.575,-17239
0.576,-17294
0.577,-17276
0.578,-17297
0.579,-17302
0.580,-17296
0.581,-17272
0.582,-17279
0.583,-17291
0.584,-17297
0.585,-17274
0.586,-17230
0.587,-17219
0.588,-17185
0.589,-17181
0.590,-17083
0.591,-16972
0.592,-16911
0.593,-16910
0.594,-16934
0.595,-16867
0.596,-16821
0.597,-16887
0.598,-16824
0.599,-16800
0.600,-16680
0.601,-16649
0.602,-16547
0.603,-16456
0.604,-16367
0.605,-16251
0.606,-16203
0.607,-16138
0.608,-16094
0.609,-16063
0.610,-15989
0.611,-15826
0.612,-15807
0.613,-15789
0.614,-15851
0.615,-15892
0.616,-15836
0.617,-15840
0.618,-15812
0.619,-15829
0.620,-15824
0.621,-15769
0.622,-15702
0.623,-15588
0.624,-15555
0.625,-15550
0.626,-15504
0.627,-15394
0.628,-15359
0.629,-15316
0.630,-15197
0.631,-15109
0.632,-15121
0.633,-15139
0.634,-15029
0.635,-14944
0.636,-14926
0.637,-14948
0.638,-14980
0.639,-14937
0.640,-14887
0.641,-14879
0.642,-14815
0.643,-14759
0.644,-14784
0.645,-14704
0.646,-14664
0.647,-14687
0.648,-14659
0.649,-14641
0.650,-14676
0.651,-14682
0.652,-14706
0.653,-14726
0.654,-14768
0.655,-14761
0.656,-14759
0.657,-14739
0.658,-14734
0.659,-14735
0.660,-14740
0.661,-14744
0.662,-14632
0.663,-14590
0.664,-14569
0.665,-14551
0.666,-14561
0.667,-14549
0.668,-14511
0.669,-14516
0.670,-14458
0.671,-14416
0.672,-14444
0.673,-14422
0.674,-14404
0.675,-14332
0.676,-14357
0.677,-14400
0.678,-14413
0.679,-14341
0.680,-14343
0.681,-14315
0.682,-14337
0.683,-14343
0.684,-14377
0.685,-14339
0.686,-14308
0.687,-14324
0.688,-14359
0.689,-14372
0.690,-14346
0.691,-14386
0.692,-14424
0.693,-14475
0.694,-14509
0.695,-14456
0.696,-14467
0.697,-14432
0.698,-14454
0.699,-14524
0.700,-14515
0.701,-14489
0.702,-14547
0.703,-14527
0.704,-14499
0.705,-14461
0.706,-14442
0.707,-14436
0.708,-14364
0.709,-14384
0.710,-14326
0.711,-14350
0.712,-14399
0.713,-14504
0.714,-14501
0.715,-14519
0.716,-14574
0.717,-14556
0.718,-14484
0.719,-14466
0.720,-14471
0.721,-14523
0.722,-14614
0.723,-14615
0.724,-14624
0.725,-14571
0.726,-14601
0.727,-14614
0.728,-14600
0.729,-14564
0.730,-14586
0.731,-14616
0.732,-14651
0.733,-14677
0.734,-14674
0.735,-14673
0.736,-14659
0.737,-14586
0.738,-14620
0.739,-14639
0.740,-14689
0.741,-14614
0.742,-14626
0.743,-14652
0.744,-14669
0.745,-14645
0.746,-14628
0.747,-14602
0.748,-14582
0.749,-14569
0.750,-14546
0.751,-14498
0.752,-14487
0.753,-14526
0.754,-14552
0.755,-14631
0.756,-14667
0.757,-14694
0.758,-14669
0.759,-14685
0.760,-14745
0.761,-14707
0.762,-14662
0.763,-14728
0.764,-14741
0.765,-14672
0.766,-14641
0.767,-14687
0.768,-14689
0.769,-14684
0.770,-14709
0.771,-14742
0.772,-14742
0.773,-14739
0.774,-14728
0.775,-14797
0.776,-14831
0.777,-14863
0.778,-14858
0.779,-14861
0.780,-14857
0.781,-14861
0.782,-14832
0.783,-14801
0.784,-14786
0.785,-14803
0.786,-14789
0.787,-14717
0.788,-14714
0.789,-14735
0.790,-14782
0.791,-14754
0.792,-14746
0.793,-14761
0.794,-14778
0.795,-14769
0.796,-14779
0.797,-14766
0.798,-14741
0.799,-14785
0.800,-14794
0.801,-14802
0.802,-14797
0.803,-14781
0.804,-14734
0.805,-14681
0.806,-14661
0.807,-14606
0.808,-14646
0.809,-14596
0.810,-14629
0.811,-14691
0.812,-14760
0.813,-14837
0.814,-14831
0.815,-14781
0.816,-14752
0.817,-14809
0.818,-14855
0.819,-14909
0.820,-14909
0.821,-14913
0.822,-14872
0.823,-14824
0.824,-14877
0.825,-14864
0.826,-14844
0.827,-14853
0.828,-14849
0.829,-14819
0.830,-14752
0.831,-14716
0.832,-14707
0.833,-14684
0.834,-14640
0.835,-14668
0.836,-14661
0.837,-14629
0.838,-14657
0.839,-14621
0.840,-14681
0.841,-14696
0.842,-14687
0.843,-14641
0.844,-14689
0.845,-14699
0.846,-14665
0.847,-14664
0.848,-14639
0.849,-14681
0.850,-14662
0.851,-14662
0.852,-14603
0.853,-14575
0.854,-14579
0.855,-14567
0.856,-14532
0.857,-14500
0.858,-14527
0.859,-14577
0.860,-14551
0.861,-14512
0.862,-14534
0.863,-14499
0.864,-14512
0.865,-14476
0.866,-14476
0.867,-14475
0.868,-14464
0.869,-14569
0.870,-14625
0.871,-14615
0.872,-14620
0.873,-14584
0.874,-14581
0.875,-14594
0.876,-14597
0.877,-14642
0.878,-14618
0.879,-14605
0.880,-14546
0.881,-14529
0.882,-14552
0.883,-14547
0.884,-14524
0.885,-14559
0.886,-14586
0.887,-14549
0.888,-14555
0.889,-14554
0.890,-14541
0.891,-14536
0.892,-14562
0.893,-14559
0.894,-14547
0.895,-14516
0.896,-14512
0.897,-14543
0.898,-14550
0.899,-14585
0.900,-14614
0.901,-14588
0.902,-14607
0.903,-14662
0.904,-14640
0.905,-14594
0.906,-14608
0.907,-14622
0.908,-14679
0.909,-14746
0.910,-14759
0.911,-14759
0.912,-14772
0.913,-14749
0.914,-14742
0.915,-14753
0.916,-14710
0.917,-14702
0.918,-14716
0.919,-14713
0.920,-14674
0.921,-14633
0.922,-14699
0.923,-14739
0.924,-14743
0.925,-14734
0.926,-14748
0.927,-14793
0.928,-14822
0.929,-14832
0.930,-14852
0.931,-14911
0.932,-14941
0.933,-14932
0.934,-14896
0.935,-14934
0.936,-15046
0.937,-15107
0.938,-15138
0.939,-15116
0.940,-15117
0.941,-15119
0.942,-15095
0.943,-15119
0.944,-15119
0.945,-15057
0.946,-15013
0.947,-14974
0.948,-14992
0.949,-15027
0.950,-15092
0.951,-15163
0.952,-15125
0.953,-15102
0.954,-15007
0.955,-14952
0.956,-14975
0.957,-15013
0.958,-15009
0.959,-15040
0.960,-14994
0.961,-14956
0.962,-14893
0.963,-14890
0.964,-14905
0.965,-14894
0.966,-14908
0.967,-14926
0.968,-14939
0.969,-14922
0.970,-14848
0.971,-14772
0.972,-14693
0.973,-14717
0.974,-14656
0.975,-14656
0.976,-14666
0.977,-14617
0.978,-14684
0.979,-14687
0.980,-14754
0.981,-14710
0.982,-14639
0.983,-14630
0.984,-14596
0.985,-14550
0.986,-14488
0.987,-14450
0.988,-14396
0.989,-14342
0.990,-14299
0.991,-14342
0.992,-14381
0.993,-14389
0.994,-14347
0.995,-14364
0.996,-14417
0.997,-14406
0.998,-14394
0.999,-14383
1.000,-14381
1.001,-14387
1.002,-14392
1.003,-14429
1.004,-14410
1.005,-14336
1.006,-14267
1.007,-14231
1.008,-14281
1.009,-14302
1.010,-14271
1.011,-14286
1.012,-14294
1.013,-14289
1.014,-14334
1.015,-14326
1.016,-14273
1.017,-14202
1.018,-14200
1.019,-14226
1.020,-14304
1.021,-14341
1.022,-14326
1.023,-14316
1.024,-14284
1.025,-14336
1.026,-14353
1.027,-14349
1.028,-14338
1.029,-14278
1.030,-14248
1.031,-14279
1.032,-14265
1.033,-14284
1.034,-14306
1.035,-14301
1.036,-14295
1.037,-14356
1.038,-14408
1.039,-14476
1.040,-14532
1.041,-14569
1.042,-14581
1.043,-14589
1.044,-14610
